pose_id,right_elbow_right_shoulder_right_hip,left_elbow_left_shoulder_left_hip,right_knee_mid_hip_left_knee,right_hip_right_knee_right_ankle,left_hip_left_knee_left_ankle,right_wrist_right_elbow_right_shoulder,left_wrist_left_elbow_left_shoulder
1005,33.65287,21.782623,27.04826,129.40305,125.13502,163.23703,145.59825
1006,13.458569,18.62024,21.198126,127.2453,138.2995,122.319664,102.96205
1007,53.923042,39.32559,89.8289,113.0242,94.20281,78.424644,148.99141
1008,43.86464,59.246807,64.91548,42.80723,38.49212,97.301125,116.13363
1009,72.27776,91.515205,68.96136,69.53683,71.24939,85.815636,109.279305
1010,23.816368,95.13207,46.48848,98.71591,114.69014,5.447012,47.293472
1011,31.625437,18.269468,62.58539,31.479118,38.355995,76.445465,111.900215
1012,25.938362,16.594437,73.55992,45.15251,50.406845,93.84431,80.69399
1013,86.21742,64.121544,41.51919,152.56392,129.54726,112.13624,113.081696
1014,13.873491,3.5430949,44.734707,91.21511,76.07381,116.96689,37.53037
1015,87.35713,51.135635,70.16485,63.62672,66.71,32.490696,58.485943
1016,79.900375,45.30053,88.26737,77.53809,84.75384,85.68668,79.56064
1017,83.9695,82.60521,55.375443,96.7223,73.872536,91.81981,79.98601
1018,71.36311,91.41973,99.790375,160.32619,59.416187,150.06226,155.5689
1019,101.615486,61.292038,48.20914,104.95187,103.487015,109.367195,127.980774
1020,83.5479,89.79458,72.3643,81.78841,56.318306,121.34269,112.526985
1021,43.77207,49.219257,126.139366,59.880264,36.145016,107.45023,101.322815
1022,21.870857,24.020533,83.30046,68.11458,75.24266,141.53128,93.44378
1023,17.219234,40.488377,92.20835,137.25935,98.73967,80.579094,48.72027
1024,53.963276,76.905,135.12344,62.592533,25.668991,106.72993,126.01021
1025,20.971119,30.17557,88.27208,147.23433,99.749,94.36206,59.53068
1026,153.1886,148.97678,78.49248,153.32431,93.34714,153.89233,139.53992
1027,9.915301,23.247053,81.68912,79.39485,80.658905,78.492355,113.09629
1028,167.49492,145.6489,76.81713,142.84375,94.262955,144.165,124.42096
1029,99.970116,111.85033,66.542076,90.94229,97.25878,112.52632,156.26671
1030,14.474596,29.984798,83.176735,77.69292,81.828476,93.50303,119.47548
1031,150.46149,152.54327,10.715166,162.46619,161.71727,165.3102,154.84381
1032,91.6734,115.88276,87.47729,91.2136,91.7215,104.55285,152.65005
1033,23.668545,21.04799,25.462168,84.095345,75.53634,67.78452,79.1745
1034,135.6095,138.62381,10.266383,166.99449,166.97725,149.52571,141.62518
1035,88.58069,106.07552,84.05458,98.54343,99.4092,78.48991,105.5321
1036,5.657903,66.56588,100.43249,66.500084,116.95485,123.59998,129.66797
1037,64.71579,39.933186,47.028275,95.53211,100.19767,108.75208,66.26626
1038,19.339941,43.10699,24.869429,121.858795,90.20092,51.23897,74.298386
1039,95.26366,107.32284,68.21054,99.67329,87.93327,83.89571,75.4963
1040,74.725815,51.186897,62.42787,76.66264,59.687286,95.07109,48.501728
1041,129.5687,153.93207,70.950775,108.265656,172.45761,156.37143,117.987495
1042,63.88946,94.83066,61.662468,76.49945,72.56253,69.9803,61.63195
1043,40.04964,9.724636,53.75061,117.64119,82.801796,119.30115,74.44048
1044,36.051826,24.210213,43.36553,95.494606,93.293755,130.42094,130.32298
1045,82.52423,70.59417,62.25672,89.16353,86.14051,43.65996,98.07707
1046,62.842087,22.197945,65.280594,134.7405,101.357185,108.266495,72.18056
1047,64.73682,19.339518,146.37987,167.7558,150.20093,107.960365,117.98635
1048,81.866585,76.63462,57.095238,75.616455,77.55599,93.9709,143.86684
1049,151.8896,156.48117,39.142666,90.06478,59.64304,132.5261,139.68341
1050,89.8999,99.39229,64.913414,76.6365,89.101845,115.17112,107.6474
1051,20.85049,17.33811,76.801285,59.693398,41.919743,97.367485,89.6447
1052,81.9653,67.35037,36.020905,125.439064,119.8386,159.58475,135.256
1053,61.19688,42.5757,64.21549,124.32925,114.444046,112.2461,122.22308
1054,60.07017,61.66883,75.57664,78.21323,64.85358,129.42924,133.66168
